signal_timestamp,entry_timestamp,exit_timestamp,symbol,side,shares,entry_price,stop_loss,take_profit,exit_price,exit_reason,atr,stop_distance,gross_pnl,fee,spread,net_pnl,r_multiple,oos_month
2025-04-07 14:00:00,2025-04-07 14:01:00,2025-04-07 14:11:00,NVDA,SHORT,206,94.345,97.05170714285714,88.93158571428572,97.05170714285714,stop,0.902235714285714,2.706707142857142,-557.5816714285711,1.442,9.717535,-568.7412064285711,-0.9999999999999997,2025-04
2025-04-07 14:02:00,2025-04-07 14:03:00,2025-04-07 14:10:00,NVDA,SHORT,194,93.1,95.92336428571429,87.45327142857143,95.92336428571429,stop,0.941121428571428,2.823364285714284,-547.7326714285725,1.358,9.0307,-558.1213714285725,-1.0000000000000024,2025-04
2025-04-07 14:04:00,2025-04-07 14:05:00,2025-04-07 14:11:00,NVDA,SHORT,176,94.381,97.42936428571429,88.28427142857143,97.42936428571429,stop,1.0161214285714288,3.0483642857142863,-536.5121142857142,1.232,8.305528,-546.0496422857142,-0.9999999999999997,2025-04
2025-04-07 14:05:00,2025-04-07 14:06:00,2025-04-07 14:11:00,NVDA,SHORT,167,94.33,97.46497857142857,88.06004285714286,97.46497857142857,stop,1.0449928571428575,3.1349785714285723,-523.5414214285722,1.169,7.876555000000001,-532.5869764285723,-1.000000000000001,2025-04
2025-04-07 14:14:00,2025-04-07 14:15:00,2025-04-07 15:15:00,NVDA,SHORT,116,99.81,104.23077857142857,90.96844285714285,94.61,time,1.4735928571428585,4.420778571428576,603.2000000000003,0.812,5.7889800000000005,596.5990200000002,1.176263392518124,2025-04
2025-04-07 14:15:00,2025-04-07 14:16:00,2025-04-07 15:16:00,NVDA,SHORT,112,100.82,105.48720714285714,91.48558571428569,94.83,time,1.555735714285716,4.667207142857148,670.8799999999994,0.784,5.64592,664.4500799999994,1.2834227872588202,2025-04
2025-04-07 14:16:00,2025-04-07 14:17:00,2025-04-07 15:17:00,NVDA,SHORT,113,101.01,105.77577857142859,91.47844285714285,94.43,time,1.5885928571428596,4.765778571428578,743.5399999999998,0.791,5.707065000000001,737.0419349999997,1.3806768194074097,2025-04
2025-04-07 14:22:00,2025-04-07 14:23:00,2025-04-07 15:23:00,NVDA,SHORT,91,93.67,99.72895,81.5521,94.03,time,2.019650000000001,6.058950000000003,-32.75999999999995,0.7,4.261985,-37.721984999999954,-0.05941623548634652,2025-04
2025-04-07 14:28:00,2025-04-07 14:29:00,2025-04-07 15:29:00,NVDA,SHORT,109,93.48,98.51888571428572,83.40222857142857,93.88,time,1.679628571428572,5.0388857142857155,-43.59999999999907,0.763,5.09466,-49.457659999999066,-0.07938262994652842,2025-04
2025-04-07 13:30:00,2025-04-07 13:31:00,2025-04-07 13:57:00,PLTR,SHORT,189,68.76,71.68667142857143,62.90665714285715,71.68667142857143,stop,0.9755571428571425,2.9266714285714275,-553.1408999999992,1.323,6.497820000000001,-560.9617199999992,-0.9999999999999989,2025-04
2025-04-07 13:31:00,2025-04-07 13:32:00,2025-04-07 13:58:00,PLTR,SHORT,172,68.885,72.02807857142858,62.59884285714287,72.02807857142858,stop,1.0476928571428559,3.1430785714285676,-540.6095142857148,1.204,5.924110000000001,-547.7376242857148,-1.0000000000000022,2025-04
2025-04-07 13:35:00,2025-04-07 13:36:00,2025-04-07 13:59:00,PLTR,SHORT,152,68.7,72.19236428571429,61.71527142857144,72.19236428571429,stop,1.164121428571427,3.492364285714281,-530.8393714285718,1.064,5.2212,-537.1245714285717,-1.000000000000002,2025-04
2025-04-07 13:40:00,2025-04-07 13:41:00,2025-04-07 14:11:00,INTC,LONG,771,18.605,17.930278571428573,19.95444285714286,19.95444285714286,target,0.22490714285714272,0.6747214285714281,1040.4204428571434,5.397,7.1722275,1027.8512153571435,2.000000000000002,2025-04
2025-04-07 13:55:00,2025-04-07 13:56:00,2025-04-07 14:13:00,INTC,LONG,1371,19.395,19.000585714285712,20.183828571428574,20.183828571428574,target,0.13147142857142896,0.3944142857142869,1081.4839714285754,9.597,13.2952725,1058.5916989285754,2.0000000000000013,2025-04
2025-04-07 14:00:00,2025-04-07 14:01:00,2025-04-07 14:13:00,INTC,LONG,1337,19.475,19.054635714285716,20.315728571428576,20.315728571428576,target,0.14012142857142887,0.42036428571428663,1124.0541000000037,9.359,13.019037500000001,1101.6760625000038,2.000000000000002,2025-04
