signal_timestamp,entry_timestamp,exit_timestamp,symbol,side,shares,entry_price,stop_loss,take_profit,exit_price,exit_reason,stop_distance,atr,gross_pnl,fee,spread,net_pnl,r_multiple,oos_month
2023-08-21 13:28:00,2023-08-21 13:30:00,2023-08-21 13:31:00,ARHS,SHORT,1312,10.43,10.466607142857143,10.356785714285714,10.466607142857143,stop_hit,0.03660714285714287,0.014642857142857148,-48.028571428571695,9.184000000000001,6.84208,-64.05465142857169,-1.000000000000005,2023-08
2023-08-17 15:14:00,2023-08-17 15:15:00,2023-08-17 15:24:00,ATEC,SHORT,994,14.3681,14.416082142857144,14.272135714285714,14.416082142857144,stop_hit,0.04798214285714364,0.019192857142857456,-47.69425000000122,6.958,7.1409457000000005,-61.79319570000122,-1.0000000000000093,2023-08
2023-08-02 13:28:00,2023-08-02 13:30:00,2023-08-02 13:45:00,DRVN,SHORT,60,18.0,18.781071428571426,16.437857142857148,16.437857142857148,target_hit,0.7810714285714271,0.31242857142857083,93.72857142857114,0.7,0.54,92.48857142857113,1.9999999999999978,2023-08
2023-08-02 15:48:00,2023-08-02 15:49:00,2023-08-03 09:36:00,DRVN,SHORT,133,14.89,15.248303571428572,14.173392857142858,15.248303571428572,stop_hit,0.35830357142857155,0.14332142857142863,-47.654374999999995,0.931,0.9901850000000001,-49.57555999999999,-0.9999999999999996,2023-08
2023-08-18 15:02:00,2023-08-18 15:03:00,2023-08-18 15:07:00,DSGN,SHORT,2441,2.08,2.0995,2.0410000000000004,2.0410000000000004,target_hit,0.019499999999999913,0.007799999999999966,95.19899999999927,17.087,2.53864,75.57335999999927,1.9999999999999936,2023-08
2023-08-10 13:23:00,2023-08-10 13:25:00,2023-08-10 13:33:00,FLNC,SHORT,73,29.84,30.493535714285713,28.532928571428574,28.532928571428574,target_hit,0.6535357142857132,0.26141428571428527,95.41621428571409,0.7,1.0891600000000001,93.62705428571408,1.9999999999999993,2023-08
2023-08-10 13:25:00,2023-08-10 13:27:00,2023-08-10 13:33:00,FLNC,SHORT,72,29.97,30.6405,28.629,28.629,target_hit,0.6704999999999993,0.2681999999999997,96.55199999999982,0.7,1.07892,94.77307999999982,1.9999999999999984,2023-08
2023-08-10 13:27:00,2023-08-10 13:30:00,2023-08-10 13:33:00,FLNC,SHORT,71,29.97,30.657464285714283,28.59507142857143,28.59507142857143,target_hit,0.6874642857142848,0.2749857142857139,97.6199285714284,0.7,1.063935,95.8559935714284,1.9999999999999993,2023-08
2023-08-10 13:30:00,2023-08-10 13:31:00,2023-08-10 13:36:00,FLNC,SHORT,57,29.0701,29.936135714285715,27.338028571428573,27.338028571428573,target_hit,0.866035714285714,0.3464142857142856,98.72807142857133,0.7,0.82849785,97.19957357857132,1.9999999999999984,2023-08
2023-08-08 13:26:00,2023-08-08 13:30:00,2023-08-11 15:53:00,GH,SHORT,57,37.235,38.10153571428572,35.501928571428564,35.17,time_exit,0.866535714285716,0.3466142857142864,117.70499999999987,0.7,1.0611975,115.94380249999986,2.3830523842888276,2023-08
2023-08-29 13:28:00,2023-08-29 13:30:00,2023-08-29 14:09:00,GRPN,SHORT,118,11.69,12.115446428571428,10.839107142857141,12.115446428571428,stop_hit,0.4254464285714289,0.17017857142857157,-50.20267857142852,0.8260000000000001,0.6897099999999999,-51.71838857142852,-0.9999999999999982,2023-08
