symbol,type,horizon_sec,n_levels,mean_ret_bps,std_ret_bps,t_stat,p_value,sharpe,n_obs,win_rate
INTC,support,120,1,1.35004897264206,7.957525185403251,6.540047544892179,8.43760616930922e-11,411.98338344566343,1486,0.5329744279946165
INTC,resistance,120,1,2.261534177754732,11.989140132504817,7.549989974845683,7.283063041541027e-14,458.06100138384437,1602,0.5711610486891385
INTC,support,300,1,2.2832408766835894,10.457617028412812,8.416439430485202,2.220446049250313e-16,530.1847072724837,1486,0.5329744279946165
INTC,resistance,300,1,1.9908833436442166,17.00605856301818,4.5204426582086725,6.659112842921644e-06,284.282641362521,1491,0.533869885982562
LUV,support,30,5,0.16244604578683672,3.3040907332444296,1.8526840029941207,0.06413517982690986,119.38929248282116,1420,0.36619718309859156
LUV,resistance,30,7,-0.49060488233402816,4.154693211860039,-7.244655069751665,5.233591338082988e-13,-286.74846683377723,3764,0.23698193411264612
LUV,support,60,5,0.45625338659936326,4.112798031718145,4.180352364386029,3.088598324829661e-05,269.3871757441414,1420,0.38591549295774646
LUV,resistance,60,7,-0.9564511301448083,5.895347497274958,-9.953554131354187,0.0,-393.9685684456829,3764,0.29968119022316686
LUV,support,120,5,0.9020952664839883,5.538907654554803,6.137230738899856,1.0874998679355485e-09,395.49088486591785,1420,0.46056338028169014
LUV,resistance,120,7,-1.7784525510061413,9.671085120722895,-11.28215038467134,0.0,-446.55532861739295,3764,0.32518597236981933
LUV,support,300,5,-0.05343187836629914,10.843163372683751,-0.18569004125993605,0.8527143772699026,-11.96610032326165,1420,0.38309859154929576
LUV,resistance,300,7,-2.4065820697202436,16.916734483344623,-8.727883711010442,0.0,-345.4556840511567,3764,0.4059511158342189
NVAX,support,30,1,4.096567271203461,16.08271556572526,7.391230657894707,3.5127456499139953e-13,618.5415935022829,842,0.497624703087886
NVAX,support,60,1,7.942897919088337,17.557333068629884,13.127332299457887,0.0,1098.5722695946126,842,0.6270783847980997
NVAX,support,120,1,16.042756112373223,24.195510313622385,19.23978615427582,0.0,1610.098309379328,842,0.6852731591448931
NVAX,support,300,1,38.55164775043617,37.54622376222262,29.794268471819397,0.0,2493.3593809725935,842,0.8254156769596199
NVTS,support,30,1,-2.6527910091139315,7.228334284494099,-10.749999695884725,0.0,-891.1955456112688,858,0.1317016317016317
NVTS,resistance,30,2,-0.994185157534646,9.564685215585893,-4.047121049188996,5.446744989101582e-05,-252.40897473414546,1516,0.2341688654353562
NVTS,support,60,1,-5.11409990868361,8.36593117478289,-17.905999360934523,0.0,-1484.4416113139014,858,0.12703962703962704
NVTS,resistance,60,2,-1.932011862176666,12.391118483887,-6.070841293302132,1.605401589444e-09,-378.62342341432316,1516,0.2941952506596306
NVTS,support,120,1,-8.483310918640209,10.434798773369463,-23.813594267911533,0.0,-1974.1925336687357,858,0.10372960372960373
NVTS,resistance,120,2,-3.9118012530616277,15.575366910713658,-9.778857014019636,0.0,-609.8832337804972,1516,0.32519788918205805
NVTS,support,300,1,-16.8820486958572,10.147990813056104,-48.72913780284724,0.0,-4039.7387702252477,858,0.0034965034965034965
