threshold,atr_stop_mult,r_target,max_hold_bars,trades,win_rate,total_pnl,sharpe,avg_r,stop_pct,target_pct,time_pct,max_dd
0.5,2.0,1.5,10,95,45.26315789473684,900.6881905357124,1.517761801101235,0.10328395428747575,13.684210526315791,14.736842105263156,71.57894736842105,-195.48779700713638
0.4,2.0,3.0,10,149,44.29530201342282,1942.7275109999873,1.4075118607716806,0.11512940399627344,18.120805369127517,4.697986577181208,76.51006711409396,33.55759999999872
0.4,2.0,2.0,60,149,46.308724832214764,2353.4120773142777,1.3968091168539776,0.13121093876990478,41.61073825503356,20.80536912751678,37.58389261744966,-211.44011428571548
0.6,2.0,2.0,10,66,42.42424242424242,514.9246131357174,1.336335244594792,0.0973219823892211,10.606060606060606,7.575757575757576,81.81818181818183,-244.0728911928496
0.4,1.5,3.0,60,149,38.25503355704698,1884.247033964265,1.017669307673167,0.14197583262569582,55.70469798657718,16.778523489932887,26.845637583892618,-216.20779214285835
0.4,2.0,2.0,10,149,44.966442953020135,1110.329050592854,0.9597861535784754,0.08877410758024211,17.449664429530202,9.395973154362416,73.15436241610739,33.55759999999872
0.4,2.0,2.5,10,149,44.29530201342282,1162.6542468714185,0.9435590331407788,0.09163947111036737,18.120805369127517,4.697986577181208,76.51006711409396,33.55759999999872
0.6,1.5,3.0,60,66,37.878787878787875,506.2719040357038,0.886910204570908,0.12867908450154347,56.060606060606055,13.636363636363635,28.78787878787879,-1145.3400681071544
0.5,1.5,3.0,10,95,40.0,771.1710337428383,0.8108745213928475,0.1196399033725826,27.368421052631582,6.315789473684211,65.26315789473685,-384.712413578588
0.5,1.5,2.5,60,95,38.94736842105263,641.3494688142688,0.6706482615538758,0.11966873164112879,54.736842105263165,20.0,25.263157894736842,-959.7210786857293
0.4,1.5,3.0,10,149,41.61073825503356,903.1928817785447,0.5847570834659792,0.10274466886603226,30.201342281879196,5.369127516778524,63.758389261744966,-92.41934177859983
0.5,1.5,3.0,20,95,43.15789473684211,533.1217255642666,0.5359928852256765,0.11133375338836285,42.10526315789473,10.526315789473683,46.31578947368421,-1173.0353808643074
0.6,1.5,2.5,60,66,39.39393939393939,311.09946565712374,0.5100414104441462,0.11052683433206204,54.54545454545454,16.666666666666664,28.78787878787879,-1143.2318907714487
0.5,2.0,3.0,20,95,44.21052631578947,375.97033222142045,0.4622312216143341,0.0832950608304724,30.526315789473685,7.368421052631578,61.05263157894737,-901.8936274214315
0.6,2.0,3.0,10,66,40.909090909090914,151.20750113571836,0.4268799266056621,0.07067063512701686,12.121212121212121,1.5151515151515151,84.84848484848484,-437.64838136427846
0.4,2.0,1.5,10,149,45.63758389261745,344.04220557856934,0.3521004753949397,0.06402990995004917,16.778523489932887,13.422818791946309,69.79865771812081,-149.71534024999667
0.4,2.0,1.5,60,149,46.97986577181208,207.99725898570614,0.15878874426382525,0.06358088164309489,40.939597315436245,25.503355704697988,33.557046979865774,-211.44011428571548
0.6,2.0,2.5,10,66,40.909090909090914,53.703149171432514,0.15751722903808063,0.06309487755125927,12.121212121212121,1.5151515151515151,84.84848484848484,-528.8145183285637
0.6,2.0,1.5,10,66,42.42424242424242,49.71788717143555,0.14682986920459187,0.061689048726035534,10.606060606060606,10.606060606060606,78.78787878787878,-414.34205997141925
0.5,2.0,3.0,30,95,37.89473684210527,96.94046847142599,0.10734518001472075,0.07196887697263854,40.0,8.421052631578947,50.526315789473685,-1226.3047827785686
0.5,2.0,2.0,20,95,46.31578947368421,57.48595937856348,0.07871182674949753,0.06332999021606714,29.47368421052631,14.736842105263156,55.78947368421052,-1070.8490766928626
0.5,1.5,2.5,10,95,40.0,31.340412242841694,0.03692097167231845,0.079415186450554,27.368421052631582,9.473684210526317,63.1578947368421,-894.3567624000143
0.4,1.5,2.5,60,149,38.92617449664429,32.42813256426689,0.018265221945275852,0.0818800443251388,55.033557046979865,18.79194630872483,26.174496644295303,-1012.4511948785911
0.4,1.5,3.0,20,149,45.63758389261745,23.118982599973606,0.01216573901927998,0.07655998027708454,44.29530201342282,8.724832214765101,46.308724832214764,-1075.7083566071735
0.4,1.5,2.5,10,149,41.61073825503356,-60.26266016430418,-0.04386246286138991,0.06984141010998135,30.201342281879196,9.395973154362416,60.40268456375839,-803.9760514785945
0.4,2.0,3.0,20,149,46.308724832214764,-113.02331124286775,-0.07357758195113956,0.053866723195924296,30.87248322147651,6.0402684563758395,62.41610738255034,-671.907700171438
0.5,1.5,2.0,60,95,40.0,-60.81906060000878,-0.07683045524703701,0.07936790319759095,53.68421052631579,25.263157894736842,21.052631578947366,-1227.6474279214362
0.5,2.0,2.5,20,95,44.21052631578947,-75.4798180214342,-0.10370820878242645,0.059131045217815474,30.526315789473685,9.473684210526317,58.94736842105262,-1331.118528735717
