symbol,side,entry_time,entry_price,stop_price,target_price,stop_pct,target_pct,exit_time,exit_price,exit_reason,qty,pnl_gross,pnl_net,commission,duration_minutes
rf,SHORT,2024-05-16 13:40:00+00:00,20.13,20.17026,20.065583999999998,0.002,0.0032,2024-05-16 14:50:00+00:00,20.13,STOP,1,-0.04025999999999996,-0.04725999999999996,0.006999999999999999,70.0
key,SHORT,2024-05-16 13:50:00+00:00,15.43,15.487000000000002,15.338799999999999,0.003694102397926143,0.005910563836681829,2024-05-16 14:50:00+00:00,15.44,OTHER,1,-0.04700000000000237,-0.05400000000000237,0.006999999999999999,60.0
eqt,LONG,2024-05-16 14:30:00+00:00,42.06,41.93011843835944,42.2678104986249,0.0030880066961617107,0.004940810713858738,2024-05-16 15:00:00+00:00,42.055,OTHER,1,-0.125,-0.132,0.007000000000000006,30.0
bac,LONG,2024-05-16 14:10:00+00:00,38.955,38.80531096867749,39.19450245011602,0.003842614075792837,0.00614818252126854,2024-05-16 15:40:00+00:00,38.95,OTHER,1,0.24450245011601623,0.23750245011601623,0.007000000000000006,90.0
usb,LONG,2024-05-16 14:10:00+00:00,41.79,41.67484444709531,41.9742488846475,0.0027555767624954618,0.004408922819992739,2024-05-16 15:50:00+00:00,41.79,OTHER,1,0.1842488846475021,0.1772488846475021,0.007000000000000006,100.0
rf,SHORT,2024-05-16 19:20:00+00:00,20.2,20.233145833333335,20.146966666666664,0.001640882838283815,0.002625412541254104,2024-05-16 19:40:00+00:00,20.2,STOP,1,0.053033333333335264,0.046033333333335265,0.006999999999999999,20.0
usb,SHORT,2024-05-16 19:20:00+00:00,41.85,41.9337,41.716080000000005,0.002,0.0032,2024-05-16 19:40:00+00:00,41.85,STOP,1,0.13391999999999626,0.12691999999999626,0.007000000000000006,20.0
usb,LONG,2024-05-16 19:40:00+00:00,41.75,41.6665,41.8836,0.002,0.0032,2024-05-17 13:30:00+00:00,41.75,OTHER,1,-0.0835000000000008,-0.0905000000000008,0.007000000000000006,1070.0
rf,LONG,2024-05-16 19:50:00+00:00,20.1,20.067018254950497,20.15277079207921,0.001640882838283815,0.002625412541254104,2024-05-17 13:40:00+00:00,20.1,STOP,1,0.1142000000000003,0.1072000000000003,0.007000000000000006,1070.0
key,SHORT,2024-05-17 13:40:00+00:00,15.385,15.41577,15.335768,0.002,0.0031999999999999997,2024-05-17 14:00:00+00:00,15.39,STOP,1,-0.025769999999999627,-0.032769999999999626,0.006999999999999999,20.0
pltr,SHORT,2024-05-17 13:40:00+00:00,21.815,21.8864,21.700760000000002,0.00327297730919095,0.00523676369470552,2024-05-17 14:00:00+00:00,21.815,OTHER,1,-0.129999999999999,-0.136999999999999,0.007000000000000006,20.0
eqt,SHORT,2024-05-17 13:40:00+00:00,40.72,40.873250000000006,40.47479999999999,0.0037635068762280695,0.006021611001964911,2024-05-17 14:00:00+00:00,40.73,OTHER,1,-0.14325000000000898,-0.150250000000009,0.007000000000000006,20.0
t,SHORT,2024-05-17 13:40:00+00:00,17.325,17.35965,17.26956,0.002,0.0032,2024-05-17 14:00:00+00:00,17.325,STOP,1,-0.03464999999999918,-0.04164999999999918,0.006999999999999999,20.0
aes,SHORT,2024-05-17 13:40:00+00:00,21.185,21.22737,21.117207999999998,0.002,0.0032000000000000006,2024-05-17 14:00:00+00:00,21.185,STOP,1,-0.042370000000001795,-0.049370000000001794,0.006999999999999999,20.0
intc,SHORT,2024-05-17 13:40:00+00:00,31.785,31.909647500000002,31.585563999999998,0.0039215825074721345,0.006274532011955416,2024-05-17 14:00:00+00:00,31.785,OTHER,1,-0.1246475000000018,-0.1316475000000018,0.007000000000000006,20.0
pfe,SHORT,2024-05-17 13:40:00+00:00,28.77,28.82754,28.677936,0.002,0.0032,2024-05-17 14:00:00+00:00,28.77,STOP,1,0.09206400000000059,0.08506400000000058,0.007000000000000006,20.0
nem,SHORT,2024-05-17 13:40:00+00:00,43.33,43.41666,43.191344,0.002,0.0032,2024-05-17 14:00:00+00:00,43.34,STOP,1,-0.0799999999999983,-0.0869999999999983,0.007000000000000006,20.0
gm,SHORT,2024-05-17 13:40:00+00:00,45.75,45.9198,45.47832,0.003711475409836113,0.005938360655737781,2024-05-17 14:00:00+00:00,45.75,OTHER,1,-0.16980000000000217,-0.17680000000000218,0.007000000000000006,20.0
eqt,LONG,2024-05-17 14:00:00+00:00,40.855,40.7012419265717,41.10101291748527,0.0037635068762280695,0.006021611001964911,2024-05-17 14:20:00+00:00,40.85,OTHER,1,-0.14875807342830427,-0.15575807342830428,0.007000000000000006,20.0
t,LONG,2024-05-17 14:00:00+00:00,17.355,17.32029,17.410536,0.002,0.0032,2024-05-17 14:20:00+00:00,17.355,OTHER,1,-0.03471000000000046,-0.04171000000000046,0.006999999999999999,20.0
pfe,LONG,2024-05-17 14:00:00+00:00,28.69,28.632620000000003,28.781808000000005,0.002,0.0032,2024-05-17 14:20:00+00:00,28.685,STOP,1,-0.052379999999995874,-0.059379999999995874,0.006999999999999999,20.0
nem,LONG,2024-05-17 14:00:00+00:00,43.505,43.41799,43.64421600000001,0.002,0.0032,2024-05-17 14:20:00+00:00,43.505,OTHER,1,-0.08700999999999937,-0.09400999999999937,0.007000000000000006,20.0
aes,LONG,2024-05-17 14:00:00+00:00,21.335,21.29233,21.403272,0.002,0.0032000000000000006,2024-05-17 14:20:00+00:00,21.335,OTHER,1,-0.042670000000001096,-0.049670000000001095,0.006999999999999999,20.0
pltr,LONG,2024-05-17 14:00:00+00:00,21.9506,21.878756184276874,22.065550105157005,0.00327297730919095,0.00523676369470552,2024-05-17 14:20:00+00:00,21.95,OTHER,1,-0.1205999999999996,-0.1275999999999996,0.007000000000000006,20.0
usb,SHORT,2024-05-17 13:40:00+00:00,41.74,41.82348,41.606432000000005,0.002,0.0032,2024-05-17 14:40:00+00:00,41.74,STOP,1,0.1335679999999968,0.1265679999999968,0.007000000000000006,60.0
gm,LONG,2024-05-17 14:00:00+00:00,45.93,45.75953193442623,46.20274890491803,0.003711475409836113,0.005938360655737781,2024-05-17 14:40:00+00:00,45.93,OTHER,1,-0.1704680655737718,-0.17746806557377182,0.007000000000000006,40.0
luv,SHORT,2024-05-17 13:40:00+00:00,28.14,28.227475000000002,28.00004,0.0031085643212509346,0.004973702914001495,2024-05-17 14:50:00+00:00,28.14,OTHER,1,-0.0874750000000013,-0.09447500000000131,0.007000000000000006,70.0
bac,SHORT,2024-05-17 13:40:00+00:00,39.37,39.44874,39.244015999999995,0.002,0.0031999999999999997,2024-05-17 15:00:00+00:00,39.37,STOP,1,0.12598400000000254,0.11898400000000253,0.007000000000000006,80.0
nem,SHORT,2024-05-17 14:50:00+00:00,43.91,43.99782,43.769487999999996,0.002,0.0032,2024-05-17 15:10:00+00:00,43.91,STOP,1,0.14051200000000108,0.13351200000000107,0.007000000000000006,20.0
key,LONG,2024-05-17 14:00:00+00:00,15.435,15.40413,15.484392000000001,0.002,0.0031999999999999997,2024-05-17 15:20:00+00:00,15.435,OTHER,1,-0.030870000000000175,-0.037870000000000174,0.006999999999999999,80.0
intc,LONG,2024-05-17 14:00:00+00:00,31.995,31.869528967673432,32.19575365172252,0.0039215825074721345,0.006274532011955416,2024-05-17 15:30:00+00:00,31.995,OTHER,1,-0.1254710323265691,-0.1324710323265691,0.007000000000000006,90.0
nem,LONG,2024-05-17 15:10:00+00:00,43.64,43.55272,43.779648,0.002,0.0032,2024-05-17 15:30:00+00:00,43.64,OTHER,1,-0.14999999999999858,-0.15699999999999859,0.007000000000000006,20.0
f,SHORT,2024-05-17 13:40:00+00:00,12.27,12.32844,12.176495999999998,0.004762836185819148,0.0076205378973106365,2024-05-17 15:40:00+00:00,12.28,OTHER,1,-0.04844000000000115,-0.05544000000000115,0.006999999999999999,120.0
rf,SHORT,2024-05-17 13:40:00+00:00,20.215,20.25543,20.150312,0.002,0.0032000000000000006,2024-05-17 15:50:00+00:00,20.215,STOP,1,-0.04043000000000063,-0.04743000000000063,0.006999999999999999,130.0
aes,SHORT,2024-05-17 18:40:00+00:00,21.14,21.222462500000002,21.008059999999997,0.0039007805108799377,0.0062412488174079005,2024-05-17 19:10:00+00:00,21.14,OTHER,1,-0.08246250000000188,-0.08946250000000189,0.007000000000000006,30.0
