symbol,side,entry_time,entry_price,stop_price,target_price,stop_pct,target_pct,exit_time,exit_price,exit_reason,qty,pnl_gross,pnl_net,commission,duration_minutes
ccl,LONG,2024-05-07 14:10:00+00:00,14.55,14.502924246361745,14.625321205821207,0.0032354469854470468,0.005176715176715275,2024-05-07 14:42:00+00:00,14.5425,STOP,1,-0.037499999999999645,-0.044499999999999644,0.006999999999999999,32.0
eqt,LONG,2024-05-07 14:20:00+00:00,41.18,41.09764,41.311776,0.002,0.0032,2024-05-07 14:44:00+00:00,41.175,STOP,1,-0.11999999999999744,-0.12699999999999745,0.007000000000000006,24.0
aes,LONG,2024-05-07 14:00:00+00:00,19.05,18.915158132530124,19.265746987951804,0.007078313253011975,0.011325301204819161,2024-05-07 14:53:00+00:00,19.05,TARGET,1,0.22499999999999787,0.21799999999999786,0.007000000000000006,53.0
usb,SHORT,2024-05-07 14:00:00+00:00,41.745,41.828489999999995,41.611416,0.002,0.0032000000000000006,2024-05-07 15:03:00+00:00,41.735,STOP,1,-0.10000000000000142,-0.10700000000000143,0.007000000000000006,63.0
czr,LONG,2024-05-07 14:50:00+00:00,36.74,36.66278453346028,36.86354474646355,0.0021016730141458586,0.003362676822633374,2024-05-07 15:08:00+00:00,36.75,TARGET,1,0.14000000000000057,0.13300000000000056,0.007000000000000006,18.0
cmcsa,SHORT,2024-05-07 13:50:00+00:00,38.585,38.67452761484558,38.44175581624709,0.0023202699195431532,0.0037124318712690456,2024-05-07 15:15:00+00:00,38.585,STOP,1,-0.0899999999999963,-0.09699999999999631,0.007000000000000006,85.0
nem,LONG,2024-05-07 14:00:00+00:00,41.5,41.35828149038462,41.726749615384605,0.003414903846153693,0.00546384615384591,2024-05-07 16:17:00+00:00,41.5,STOP,1,-0.1599999999999966,-0.1669999999999966,0.007000000000000006,137.0
tfc,SHORT,2024-05-07 19:20:00+00:00,38.975,39.05295,38.850280000000005,0.002,0.0032,2024-05-07 19:30:00+00:00,38.97,STOP,1,-0.0799999999999983,-0.0869999999999983,0.007000000000000006,10.0
tfc,LONG,2024-05-07 19:40:00+00:00,39.035,38.95693,39.159912,0.002,0.0032,2024-05-07 19:54:00+00:00,39.04,TARGET,1,0.125,0.118,0.007000000000000006,14.0
pltr,SHORT,2024-05-07 13:40:00+00:00,22.0327,22.582427389746996,21.153136176404796,0.024950523074657237,0.039920836919451586,2024-05-07 19:56:00+00:00,22.03,EOD,1,0.5899999999999999,0.5829999999999999,0.007000000000000006,376.0
gm,SHORT,2024-05-08 13:40:00+00:00,44.9,44.989799999999995,44.75632,0.002,0.0032,2024-05-08 13:44:00+00:00,44.9,STOP,1,-0.09000000000000341,-0.09700000000000342,0.007000000000000006,4.0
bac,SHORT,2024-05-08 13:40:00+00:00,37.585,37.66017,37.464728,0.002,0.0032,2024-05-08 13:45:00+00:00,37.58,STOP,1,-0.09499999999999886,-0.10199999999999887,0.007000000000000006,5.0
eqt,SHORT,2024-05-08 13:40:00+00:00,39.815,39.89463,39.687591999999995,0.002,0.0032,2024-05-08 13:45:00+00:00,39.82,STOP,1,-0.10999999999999943,-0.11699999999999944,0.007000000000000006,5.0
