feature,ic_long,ic_short,ic_combined,mean,std,null_pct,importance_long,importance_short,importance_combined,category
ema_15,-0.0052673751055605615,-0.0013047245633664797,0.0032860498344635205,160.01956292902716,103.37755761450155,0.0,448.0419921875,1052.6132068634033,1500.6551990509033,Moving Averages
price_to_ema_15,-0.009959864471549488,0.017710361427433027,0.013835112949491257,-3.8713628479990564e-05,0.0025727012961456364,0.0,0.0,0.0,0.0,Moving Averages
sma_20,-0.0053300904280019585,-0.0013415108960482562,0.0033358006620251074,160.0222117986367,103.38100173976068,0.0,232.69580459594727,209.8798007965088,442.57560539245605,Moving Averages
price_to_sma_20,-0.006189262596454246,0.018519464206855227,0.012354363401654737,-4.8873854686860176e-05,0.0035172626723029453,0.0,0.0,44.46770095825195,44.46770095825195,Moving Averages
ema_20,-0.0053018467627692105,-0.0013169687328900169,0.0033094077478296137,160.02216300201928,103.3803566063688,0.0,0.0,212.7003993988037,212.7003993988037,Moving Averages
price_to_ema_20,-0.010518260591434259,0.019248475079461973,0.014883367835448115,-5.176238235596386e-05,0.003008425540873499,0.0,59.23929977416992,108.41480255126953,167.65410232543945,Moving Averages
sma_30,-0.005385155169346849,-0.0013596418737308864,0.0033723985215388676,160.02728998012103,103.3868248783298,0.0,246.3281021118164,262.6263999938965,508.9545021057129,Moving Averages
price_to_sma_30,-0.008417621787983496,0.022118343192072048,0.015267982490027771,-7.265017439774661e-05,0.004334717320378718,0.0,0.0,35.21440124511719,35.21440124511719,Moving Averages
ema_30,-0.005351127586310527,-0.001317142437972507,0.003334135012141517,160.0273888289724,103.38604179494988,0.0,749.6118087768555,101.56680297851562,851.1786117553711,Moving Averages
price_to_ema_30,-0.011591563684214563,0.01820146320940755,0.014896513446811057,-7.790890344273306e-05,0.0037256720366134178,0.0,0.0,128.97500610351562,128.97500610351562,Moving Averages
sma_50,-0.005411693279391145,-0.0013291476610685457,0.0033704204702298454,160.03768309524443,103.39874482167578,0.0,633.0056991577148,1855.7357349395752,2488.74143409729,Moving Averages
price_to_sma_50,-0.011859830125813927,0.016694093725946043,0.014276961925879985,-0.00012143302846884858,0.005619019465194631,0.0,460.13641357421875,353.32520294189453,813.4616165161133,Moving Averages
ema_50,-0.005399215388377682,-0.0012558669507279345,0.0033275411695528083,160.03795481185517,103.39769278542887,0.0,1527.6211776733398,309.3720054626465,1836.9931831359863,Moving Averages
price_to_ema_50,-0.013495069152768654,0.010710128154744956,0.012102598653756805,-0.00013055649484098355,0.004849233130978696,0.0,0.0,30.694499969482422,30.694499969482422,Moving Averages
sma_100,-0.005441881651773063,-0.0011671627785449362,0.0033045222151589994,160.06498313394425,103.43030783161761,0.0,666.1492004394531,2837.5606384277344,3503.7098388671875,Moving Averages
price_to_sma_100,-0.01491638126481029,0.00033075037964002416,0.0076235658222251566,-0.0002492429150581529,0.00796904212493511,0.0,107.23100280761719,107.9813003540039,215.2123031616211,Moving Averages
ema_100,-0.0054100310819104585,-0.0011345416980180537,0.0032722863899642563,160.06407758087585,103.42708473593342,0.0,233.67559432983398,1575.4978923797607,1809.1734867095947,Moving Averages
price_to_ema_100,-0.014210568948997991,0.0006678189758368285,0.00743919396241741,-0.0002595862917560518,0.00693075854126198,0.0,164.63089752197266,30.24169921875,194.87259674072266,Moving Averages
sma_200,-0.005335683571902718,-0.000961864982236647,0.0031487742770696823,160.11721921988646,103.49243972867028,0.0,4247.003684997559,3009.4763927459717,7256.48007774353,Moving Averages
price_to_sma_200,-0.009634815867101717,-0.005869721043273735,0.007752268455187726,-0.0004886461931476348,0.011409417831925103,0.0,1770.2942657470703,436.0770015716553,2206.3712673187256,Moving Averages
ema_200,-0.0053840995233339845,-0.0008684026771715619,0.003126251100252773,160.1126255284245,103.484113011703,0.0,639.3905029296875,3624.4850063323975,4263.875509262085,Moving Averages
price_to_ema_200,-0.006596464010547393,-0.004476477430041895,0.005536470720294643,-0.0004941952783269446,0.00998127456835894,0.0,508.28099822998047,3001.0602321624756,3509.341230392456,Moving Averages
sma_cross_5_10,-0.005164848282562123,0.01386705247984,0.009515950381201062,-0.0013997270815984935,0.13229937389570684,0.0,0.0,174.2741985321045,174.2741985321045,Moving Averages
ema_cross_5_10,-0.0069135640067343115,0.019318399122574208,0.01311598156465426,-0.0014454996452867826,0.09237441319710755,0.0,0.0,61.534000396728516,61.534000396728516,Moving Averages
sma_cross_10_20,-0.0018076046153484853,0.02079780698085673,0.011302705798102608,-0.00260603171420156,0.1823553502443066,0.0,476.0162048339844,439.2341003417969,915.2503051757812,Moving Averages
ema_cross_10_20,-0.00980362612371105,0.021384427801313395,0.015594026962512223,-0.002785555222924661,0.12794359831701851,0.0,0.0,411.4686050415039,411.4686050415039,Moving Averages
sma_cross_20_50,-0.003592254292646172,0.011665006196632943,0.007628630244639558,-0.0076349476444445875,0.3407295006751397,0.0,1329.8300170898438,1306.526704788208,2636.3567218780518,Moving Averages
ema_cross_20_50,-0.011550473359286597,0.0006698748937380432,0.00611017412651232,-0.008292941541611086,0.24900820377573318,0.0,1075.2726211547852,2245.597906112671,3320.870527267456,Moving Averages
sma_cross_50_100,-0.008948871420766655,-0.023936852729980324,0.016442862075373488,-0.013580420991946802,0.3994742938192739,0.0,3741.167064666748,3291.6041164398193,7032.771181106567,Moving Averages
ema_cross_50_100,-0.00736026611538285,-0.013832097797192033,0.010596181956287441,-0.013722455639958277,0.28608949309541626,0.0,3826.130340576172,2435.083568572998,6261.21390914917,Moving Averages
sma_cross_50_200,-0.0010652248678022387,-0.019233941754226925,0.010149583311014582,-0.038006098473422116,0.8552751535135059,0.0,2675.449996948242,6813.468423843384,9488.918420791626,Moving Averages
ema_cross_50_200,0.003821769899782791,-0.013849444655453333,0.008835607277618063,-0.03789369909079371,0.6762125554290814,0.0,2133.9400177001953,6817.050012588501,8950.990030288696,Moving Averages
volatility_5,0.08186879751120839,0.06265394105253584,0.07226136928187211,0.0008934824545240678,0.001194968748832651,0.0,364.75599670410156,225.54640197753906,590.3023986816406,Volatility
volatility_ratio_5,0.03868440406943343,0.027063739123330353,0.03287407159638189,1.0271389206467956,0.7735021081868474,0.0,0.0,245.84200286865234,245.84200286865234,Volatility
volatility_10,0.08502044989605645,0.064689232902359,0.07485484139920773,0.0009395310637511892,0.0011565579290270707,0.0,1043.064323425293,1270.101303100586,2313.165626525879,Volatility
volatility_ratio_10,0.048362036354506394,0.03398590786401689,0.041173972109261645,1.030095709551588,0.6544011736928157,0.0,0.0,724.292501449585,724.292501449585,Volatility
volatility_15,0.08450697783498676,0.06310378828517638,0.07380538306008157,0.0009610574005105692,0.0011369888816421597,0.0,173.47420501708984,877.1835784912109,1050.6577835083008,Volatility
volatility_ratio_15,0.05344511839531317,0.03863483651943982,0.046039977457376494,1.030953057193191,0.5928974942761753,0.0,262.73260498046875,997.9540843963623,1260.686689376831,Volatility
volatility_20,0.08292758170607821,0.060717313689566316,0.07182244769782226,0.0009758879118299998,0.001122963433369761,0.0,374.27589416503906,994.9179058074951,1369.1937999725342,Volatility
volatility_ratio_20,0.05733297273938543,0.04174359805148306,0.04953828539543424,1.0309241510726457,0.55011720624622,0.0,370.8801956176758,1346.8693027496338,1717.7494983673096,Volatility
volatility_30,0.08002808038859235,0.05686572112913823,0.0684469007588653,0.0009979611295110442,0.0011019789733177328,0.0,702.9120025634766,19318.860595703125,20021.7725982666,Volatility
volatility_ratio_30,0.06245177787767713,0.04737486646216385,0.054913322169920495,1.0295496849182189,0.489206867226687,0.0,75.41339874267578,4094.193759918213,4169.607158660889,Volatility
volatility_50,0.07502513251398009,0.05052083758012092,0.0627729850470505,0.0010293170669933602,0.001071790055199904,0.0,6343.974510192871,12707.860383987427,19051.834894180298,Volatility
volatility_ratio_50,0.06403109185514548,0.0557477083260074,0.059889400090576445,1.0237527015677013,0.4103030457507449,0.0,3878.8485527038574,7657.127592086792,11535.97614479065,Volatility
