sweep_id,entries,rejections,trades_per_day,avg_r_multiple,hit_rate,rejection_counts,reject_bigmove_prob,reject_probability,reject_score_margin,reject_tod_profile,reject_expected_r,reject_risk_budget,reject_capacity,reject_other,metric_total_return,metric_annualized_return,metric_volatility,metric_sharpe_ratio,metric_max_drawdown,metric_max_drawdown_duration,metric_total_commissions,metric_total_slippage,metric_fill_rate,metric_total_trades,metric_trades,metric_win_rate,metric_avg_R,metric_total_pnl,metric_fees_total,param_bigmove_policy.probability_threshold,param_score_margin,param_prob_threshold_long,param_max_open_positions_global
43,22,17976,1.0,0.0,0.0,"{'bigmove_prob': 16526, 'probability': 26, 'score_margin': 5, 'tod_profile': 501, 'expected_r': 0, 'risk_budget': 897, 'capacity': 21, 'other': 0}",16526,26,5,501,0,897,21,0,-1.2713630873295578e-05,-3.7340901686278016e-06,4.933405779518444e-05,-405.4751420046623,-4.7260683423213595e-05,470,10.5,0.0,0.5,19,19,0.42105263157894735,-0.5542698963849603,-10.531128031314246,10.5,0.002,0.005,0.001,3
44,22,17976,1.0,0.0,0.0,"{'bigmove_prob': 16524, 'probability': 26, 'score_margin': 5, 'tod_profile': 501, 'expected_r': 0, 'risk_budget': 897, 'capacity': 23, 'other': 0}",16524,26,5,501,0,897,23,0,-1.2458630885503474e-05,-3.6591944014841005e-06,4.9517281098051425e-05,-403.97329479361616,-4.72606713719884e-05,470,10.5,0.0,0.5,20,20,0.4,-0.4975564758657103,-9.951129517314206,10.5,0.002,0.005,0.002,2
45,22,17976,1.0,0.0,0.0,"{'bigmove_prob': 16526, 'probability': 26, 'score_margin': 5, 'tod_profile': 501, 'expected_r': 0, 'risk_budget': 897, 'capacity': 21, 'other': 0}",16526,26,5,501,0,897,21,0,-1.2713630873295578e-05,-3.7340901686278016e-06,4.933405779518444e-05,-405.4751420046623,-4.7260683423213595e-05,470,10.5,0.0,0.5,19,19,0.42105263157894735,-0.5542698963849603,-10.531128031314246,10.5,0.002,0.005,0.002,3
46,22,17976,1.0,0.0,0.0,"{'bigmove_prob': 16524, 'probability': 26, 'score_margin': 5, 'tod_profile': 501, 'expected_r': 0, 'risk_budget': 897, 'capacity': 23, 'other': 0}",16524,26,5,501,0,897,23,0,-1.2458630885503474e-05,-3.6591944014841005e-06,4.9517281098051425e-05,-403.97329479361616,-4.72606713719884e-05,470,10.5,0.0,0.5,20,20,0.4,-0.4975564758657103,-9.951129517314206,10.5,0.002,0.005,0.005,2
47,22,17976,1.0,0.0,0.0,"{'bigmove_prob': 16526, 'probability': 26, 'score_margin': 5, 'tod_profile': 501, 'expected_r': 0, 'risk_budget': 897, 'capacity': 21, 'other': 0}",16526,26,5,501,0,897,21,0,-1.2713630873295578e-05,-3.7340901686278016e-06,4.933405779518444e-05,-405.4751420046623,-4.7260683423213595e-05,470,10.5,0.0,0.5,19,19,0.42105263157894735,-0.5542698963849603,-10.531128031314246,10.5,0.002,0.005,0.005,3
48,14,17990,0.6363636363636364,0.0,0.0,"{'bigmove_prob': 16544, 'probability': 39, 'score_margin': 6, 'tod_profile': 486, 'expected_r': 0, 'risk_budget': 900, 'capacity': 15, 'other': 0}",16544,39,6,486,0,900,15,0,-6.999719407985161e-06,-2.0558667263026464e-06,3.323666924619935e-05,-601.8068693514938,-3.0978333148846645e-05,470,7.0,0.0,0.5,13,13,0.3076923076923077,-0.5107475332603476,-6.639717932384519,7.0,0.002,0.01,0.001,2
49,14,17990,0.6363636363636364,0.0,0.0,"{'bigmove_prob': 16544, 'probability': 39, 'score_margin': 6, 'tod_profile': 486, 'expected_r': 0, 'risk_budget': 900, 'capacity': 15, 'other': 0}",16544,39,6,486,0,900,15,0,-6.999719407985161e-06,-2.0558667263026464e-06,3.323666924619935e-05,-601.8068693514938,-3.0978333148846645e-05,470,7.0,0.0,0.5,13,13,0.3076923076923077,-0.5107475332603476,-6.639717932384519,7.0,0.002,0.01,0.001,3
50,14,17990,0.6363636363636364,0.0,0.0,"{'bigmove_prob': 16544, 'probability': 39, 'score_margin': 6, 'tod_profile': 486, 'expected_r': 0, 'risk_budget': 900, 'capacity': 15, 'other': 0}",16544,39,6,486,0,900,15,0,-6.999719407985161e-06,-2.0558667263026464e-06,3.323666924619935e-05,-601.8068693514938,-3.0978333148846645e-05,470,7.0,0.0,0.5,13,13,0.3076923076923077,-0.5107475332603476,-6.639717932384519,7.0,0.002,0.01,0.002,2
51,14,17990,0.6363636363636364,0.0,0.0,"{'bigmove_prob': 16544, 'probability': 39, 'score_margin': 6, 'tod_profile': 486, 'expected_r': 0, 'risk_budget': 900, 'capacity': 15, 'other': 0}",16544,39,6,486,0,900,15,0,-6.999719407985161e-06,-2.0558667263026464e-06,3.323666924619935e-05,-601.8068693514938,-3.0978333148846645e-05,470,7.0,0.0,0.5,13,13,0.3076923076923077,-0.5107475332603476,-6.639717932384519,7.0,0.002,0.01,0.002,3
52,14,17990,0.6363636363636364,0.0,0.0,"{'bigmove_prob': 16544, 'probability': 39, 'score_margin': 6, 'tod_profile': 486, 'expected_r': 0, 'risk_budget': 900, 'capacity': 15, 'other': 0}",16544,39,6,486,0,900,15,0,-6.999719407985161e-06,-2.0558667263026464e-06,3.323666924619935e-05,-601.8068693514938,-3.0978333148846645e-05,470,7.0,0.0,0.5,13,13,0.3076923076923077,-0.5107475332603476,-6.639717932384519,7.0,0.002,0.01,0.005,2
53,14,17990,0.6363636363636364,0.0,0.0,"{'bigmove_prob': 16544, 'probability': 39, 'score_margin': 6, 'tod_profile': 486, 'expected_r': 0, 'risk_budget': 900, 'capacity': 15, 'other': 0}",16544,39,6,486,0,900,15,0,-6.999719407985161e-06,-2.0558667263026464e-06,3.323666924619935e-05,-601.8068693514938,-3.0978333148846645e-05,470,7.0,0.0,0.5,13,13,0.3076923076923077,-0.5107475332603476,-6.639717932384519,7.0,0.002,0.01,0.005,3
