sweep_id,entries,rejections,trades_per_day,avg_r_multiple,hit_rate,metric_total_return,metric_annualized_return,metric_volatility,metric_sharpe_ratio,metric_max_drawdown,metric_max_drawdown_duration,metric_total_commissions,metric_total_slippage,metric_fill_rate,metric_total_trades,metric_win_rate,metric_profit_factor,metric_winning_trades,metric_losing_trades,param_param_bigmove_policy.probability_threshold,param_param_score_margin,param_param_prob_threshold_long,param_param_max_open_positions_global
21,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.15,0.02,0.55,3
22,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.15,0.02,0.6,2
23,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.15,0.02,0.6,3
24,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.25,-0.1,0.5,2
25,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.25,-0.1,0.5,3
26,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.25,-0.1,0.55,2
27,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.25,-0.1,0.55,3
28,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.25,-0.1,0.6,2
29,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.25,-0.1,0.6,3
30,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.25,-0.05,0.5,2
31,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.25,-0.05,0.5,3
32,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.25,-0.05,0.55,2
33,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.25,-0.05,0.55,3
34,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.25,-0.05,0.6,2
35,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.25,-0.05,0.6,3
36,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.25,0.0,0.5,2
37,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.25,0.0,0.5,3
38,0,18017,0.0,,,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0,0,0.25,0.0,0.55,2
