signal_timestamp,entry_timestamp,exit_timestamp,symbol,side,shares,entry_price,exit_price,gross_pnl,fee,spread,net_pnl,hour
2025-06-24 14:57:00,2025-06-24 14:58:00,2025-06-24 15:03:00,TSCO,SHORT,1904,52.91,52.92,-19.04000000000974,13.328,50.37032,-82.73832000000974,14
2025-06-24 13:30:00,2025-06-24 13:31:00,2025-06-24 13:36:00,USO,LONG,545,73.29,73.4252,73.68399999999866,3.815,19.971525000000003,49.897474999998664,13
2025-06-24 13:36:00,2025-06-24 13:37:00,2025-06-24 13:42:00,USO,LONG,852,73.59,73.47,-102.24000000000387,5.964,31.34934,-139.55334000000389,13
2025-06-26 13:55:00,2025-06-26 13:56:00,2025-06-26 14:01:00,FCX,LONG,1987,43.575,43.6881,224.72969999999157,13.909,43.291762500000004,167.52893749999157,13
2025-06-30 14:16:00,2025-06-30 14:17:00,2025-06-30 14:22:00,IBKR,SHORT,2090,55.085,55.05,73.15000000000772,14.63,57.56382500000001,0.9561750000077112,14
2025-06-30 14:17:00,2025-06-30 14:18:00,2025-06-30 14:23:00,IBKR,SHORT,2099,55.075,55.09,-31.485000000001193,14.693,57.801212500000005,-103.9792125000012,14
2025-06-30 14:18:00,2025-06-30 14:19:00,2025-06-30 14:24:00,IBKR,SHORT,2076,55.265,55.18,176.46000000000177,14.532,57.36507,104.56293000000176,14
2025-06-30 14:19:00,2025-06-30 14:20:00,2025-06-30 14:25:00,IBKR,SHORT,1796,55.07,55.2299,-287.18040000000065,12.572000000000001,49.45286,-349.20526000000064,14
2025-07-02 14:12:00,2025-07-02 14:13:00,2025-07-02 14:18:00,TSLA,SHORT,37,308.975,310.5125,-56.88749999999874,0.7,5.7160375000000005,-63.30353749999874,14
2025-07-08 14:09:00,2025-07-08 14:10:00,2025-07-08 14:15:00,BAC,LONG,2043,47.59,47.55,-81.72000000001277,14.301,48.61318500000001,-144.6341850000128,14
2025-07-08 13:45:00,2025-07-08 13:46:00,2025-07-08 13:51:00,FSLR,SHORT,91,171.28,170.445,75.98500000000072,0.7,7.79324,67.49176000000072,13
2025-07-08 13:31:00,2025-07-08 13:32:00,2025-07-08 13:37:00,ORCL,LONG,281,237.2,238.93,486.1300000000051,1.967,33.3266,450.83640000000514,13
2025-07-10 14:24:00,2025-07-10 14:25:00,2025-07-10 14:30:00,FCX,LONG,1932,46.52,46.495,-48.30000000001098,13.524000000000001,44.93832,-106.76232000001099,14
