action_id,date,symbol,timestamp,side,hold_minutes,score,paper_only,execution_assumption,context
2026-02-18|F|2026-02-18T09:56:00-05:00|short|12,2026-02-18,F,2026-02-18T09:56:00-05:00,short,12,0.4677993953227997,True,next_bar_open_if_replayed,"{'pressure_k': -17800.0, 'spread': 0.009999999999999787, 'depth_imb_k': -0.21654501216545013, 'micro_off': -0.003031496062991579, 'spread_mean_10s': 0.010000000000005116, 'depth_imb_k_mean_10s': -0.21600399431139294, 'depth_imb_k_mean_60s': 0.000989238957757422, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:57:00-05:00|short|8,2026-02-18,F,2026-02-18T09:57:00-05:00,short,8,0.5102351307868958,True,next_bar_open_if_replayed,"{'pressure_k': 1900.0, 'spread': 0.009999999999999787, 'depth_imb_k': 0.02592087312414734, 'micro_off': 0.0004216867469875041, 'spread_mean_10s': 0.010000000000005116, 'depth_imb_k_mean_10s': 0.054994939836488455, 'depth_imb_k_mean_60s': 0.024037717045838815, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:58:00-05:00|short|8,2026-02-18,F,2026-02-18T09:58:00-05:00,short,8,0.3937593400478363,True,next_bar_open_if_replayed,"{'pressure_k': 2000.0, 'spread': 0.010000000000001563, 'depth_imb_k': 0.02544529262086514, 'micro_off': 0.00030386740331422857, 'spread_mean_10s': 0.010000000000005116, 'depth_imb_k_mean_10s': 0.029138246447473648, 'depth_imb_k_mean_60s': 0.042281631656174865, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T09:59:00-05:00|short|12,2026-02-18,F,2026-02-18T09:59:00-05:00,short,12,0.45645880699157715,True,next_bar_open_if_replayed,"{'pressure_k': -1400.0, 'spread': 0.010000000000001563, 'depth_imb_k': -0.019021739130434784, 'micro_off': -0.0007024793388428208, 'spread_mean_10s': 0.010000000000005116, 'depth_imb_k_mean_10s': -0.023934783053732644, 'depth_imb_k_mean_60s': -0.04960885854252945, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T10:00:00-05:00|long|12,2026-02-18,F,2026-02-18T10:00:00-05:00,long,12,0.45052850246429443,True,next_bar_open_if_replayed,"{'pressure_k': 1900.0, 'spread': 0.009999999999999787, 'depth_imb_k': 0.017707362534948742, 'micro_off': -0.0020857142857142463, 'spread_mean_10s': 0.010000000000005116, 'depth_imb_k_mean_10s': 0.023184854532459373, 'depth_imb_k_mean_60s': 0.06468330228623027, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 0.0}"
2026-02-18|F|2026-02-18T10:01:00-05:00|short|8,2026-02-18,F,2026-02-18T10:01:00-05:00,short,8,0.4380839169025421,True,next_bar_open_if_replayed,"{'pressure_k': 8000.0, 'spread': 0.009999999999999787, 'depth_imb_k': 0.07751937984496124, 'micro_off': -0.0014444444444432492, 'spread_mean_10s': 0.010000000000005116, 'depth_imb_k_mean_10s': 0.06634299138980318, 'depth_imb_k_mean_60s': 0.1387344143054948, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 1.0}"
2026-02-18|F|2026-02-18T10:02:00-05:00|short|8,2026-02-18,F,2026-02-18T10:02:00-05:00,short,8,0.393470823764801,True,next_bar_open_if_replayed,"{'pressure_k': 14500.0, 'spread': 0.009999999999999787, 'depth_imb_k': 0.14514514514514515, 'micro_off': 0.001086956521740845, 'spread_mean_10s': 0.010000000000005116, 'depth_imb_k_mean_10s': 0.16045807967789188, 'depth_imb_k_mean_60s': 0.088209309859042, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 1.0}"
2026-02-18|F|2026-02-18T10:03:00-05:00|short|12,2026-02-18,F,2026-02-18T10:03:00-05:00,short,12,0.39891502261161804,True,next_bar_open_if_replayed,"{'pressure_k': 100.0, 'spread': 0.009999999999999787, 'depth_imb_k': 0.0008583690987124463, 'micro_off': -0.003786407766991573, 'spread_mean_10s': 0.010000000000005116, 'depth_imb_k_mean_10s': 0.03851245238514055, 'depth_imb_k_mean_60s': 0.08092449752825898, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 1.0}"
2026-02-18|F|2026-02-18T10:04:00-05:00|short|8,2026-02-18,F,2026-02-18T10:04:00-05:00,short,8,0.4996182322502136,True,next_bar_open_if_replayed,"{'pressure_k': 9600.0, 'spread': 0.009999999999999787, 'depth_imb_k': 0.09504950495049505, 'micro_off': -7.57575757557305e-05, 'spread_mean_10s': 0.010000000000005116, 'depth_imb_k_mean_10s': 0.09906792550933688, 'depth_imb_k_mean_60s': 0.09071546055914502, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 1.0}"
2026-02-18|F|2026-02-18T10:05:00-05:00|short|8,2026-02-18,F,2026-02-18T10:05:00-05:00,short,8,0.532240092754364,True,next_bar_open_if_replayed,"{'pressure_k': 15000.0, 'spread': 0.010000000000001563, 'depth_imb_k': 0.14258555133079848, 'micro_off': 0.004042553191489162, 'spread_mean_10s': 0.010000000000005116, 'depth_imb_k_mean_10s': 0.12019720148304627, 'depth_imb_k_mean_60s': 0.06444795219400497, 'dist_vwap_bps': None, 'hl_range_pct': None, 'oc_change_pct': None, 'volume_rel_20': None, 'atr_pct': None, 'position_in_range': None, 'rsi': None, 'bb_position': None, 'ret_3': None, 'ret_10': None, 'session_bucket': 1.0}"
