feature,correlation,abs_corr,p_value
price_vs_s1,-0.015384339993200848,0.015384339993200848,3.1151828468708824e-07
regime_vol_20,0.015175218139851272,0.015175218139851272,4.5064589370236137e-07
strength_vs_market_10,-0.015110792212689598,0.015110792212689598,5.102280520708504e-07
bb_position_20_change_3,-0.015076186963812604,0.015076186963812604,5.352216425496121e-07
atr_60,0.01499564678501391,0.01499564678501391,6.129784346255004e-07
price_jerk_5,-0.01485262411985821,0.01485262411985821,8.008682744149918e-07
momentum_accel_5,-0.01472551584600933,0.01472551584600933,9.862791400899302e-07
trend_strength_10,-0.014720638814234053,0.014720638814234053,9.944410005748716e-07
regime_vol_30,0.014678149850431525,0.014678149850431525,1.0559862839316725e-06
dist_to_high_10,0.014635113561962784,0.014635113561962784,1.1320901984789856e-06
close_vs_high_10,-0.014620391380838657,0.014620391380838657,1.1604662562126656e-06
volatility_14,0.014234983246762171,0.014234983246762171,2.206516730076541e-06
rsi_9_extreme,-0.014120830585710186,0.014120830585710186,2.651546460835755e-06
volatility_20,0.0140517798901752,0.0140517798901752,2.974096541550755e-06
vol_vs_avg_20,0.014023161228612713,0.014023161228612713,3.106774980319561e-06
vol_ratio_20,0.014023161228612713,0.014023161228612713,3.106774980319561e-06
vol_ma_ext_3,0.013977278321236724,0.013977278321236724,3.3456692043019216e-06
volatility_30,0.013649927858642445,0.013649927858642445,5.653201918796435e-06
rsi_9_slope,-0.013588271327944731,0.013588271327944731,6.230395991532286e-06
d1_close_3,-0.013573453980317325,0.013573453980317325,6.383748555676974e-06
log_ret_3,-0.013573446691202588,0.013573446691202588,6.383821546060511e-06
ret_3,-0.013573446691202588,0.013573446691202588,6.383821546060511e-06
ret_ext_3,-0.013573446691202588,0.013573446691202588,6.383821546060511e-06
roc_3,-0.013573446691202588,0.013573446691202588,6.383821546060511e-06
day_of_week,-0.01349607871266222,0.01349607871266222,7.1785251180198975e-06
atr_10,0.013463421352779475,0.013463421352779475,7.553509026549087e-06
vol_ma_5,0.013460943321214482,0.013460943321214482,7.5827146094437176e-06
low_vs_prev_low,-0.013402973292870523,0.013402973292870523,8.307705041520326e-06
ret_5_lag_5,0.01332419555168188,0.01332419555168188,9.43400973926056e-06
vol_skew_30,-0.01331733512986081,0.01331733512986081,9.518377626051368e-06
range_x_vol_10,0.013251509792118569,0.013251509792118569,1.0482040616297022e-05
stoch_k_14_change_5,-0.013103666057610373,0.013103666057610373,1.3142877451707676e-05
vol_ma_ext_7,0.013102258720452148,0.013102258720452148,1.3165080763064542e-05
rsi_21_slope,-0.013101753530999979,0.013101753530999979,1.320842088425985e-05
bb_upper_20,0.013067443777786571,0.013067443777786571,1.3895340760062918e-05
rsi_divergence,-0.012874492617389223,0.012874492617389223,1.857727391749819e-05
ema_10,-0.012638809725742656,0.012638809725742656,2.6316322753732652e-05
ema_20,-0.01263216960163075,0.01263216960163075,2.6574381353922572e-05
ma_20,-0.01261889742470515,0.01261889742470515,2.7097414498989255e-05
ema_5,-0.012611087475300594,0.012611087475300594,2.74097502016216e-05
ma_10,-0.012610221821405901,0.012610221821405901,2.7444579426151624e-05
ma_5,-0.01257929324437826,0.01257929324437826,2.8716953577521135e-05
ema_50,-0.012560273959232874,0.012560273959232874,2.952702522659188e-05
range_pct_20,0.012506454632729093,0.012506454632729093,3.19386424874998e-05
ma_50,-0.012501790433225475,0.012501790433225475,3.215623167773562e-05
atr_5,0.012500342477597789,0.012500342477597789,3.2224066108396916e-05
r1,-0.01245964691170632,0.01245964691170632,3.418994264708618e-05
pivot,-0.012450245287442345,0.012450245287442345,3.465937837395552e-05
ema_100,-0.01243313735911151,0.01243313735911151,3.552645378554105e-05
s1,-0.01242685359184884,0.01242685359184884,3.585406201745341e-05
bb_position_20_change_5,-0.012350718347562841,0.012350718347562841,4.011247840281995e-05
vol_ma_10,0.012350217506047863,0.012350217506047863,4.004473301120374e-05
dist_to_high_20,0.01230549929477202,0.01230549929477202,4.270259140791573e-05
close_vs_high_20,-0.012300634324183879,0.012300634324183879,4.300163270312503e-05
vol_skew_20,-0.012243914953411279,0.012243914953411279,4.6830029444706795e-05
ma_100,-0.012240703647821746,0.012240703647821746,4.685227420060668e-05
price_vs_ema_5,-0.012226516094861905,0.012226516094861905,4.7810561195450135e-05
ema_200,-0.012225615058884165,0.012225615058884165,4.787204432400485e-05
power_hour,-0.012201486870619772,0.012201486870619772,4.954661071198234e-05
atr_14,0.01218462194922625,0.01218462194922625,5.074989286400399e-05
atr_20,0.01217922531504396,0.01217922531504396,5.114074678514434e-05
rsi_x_vol,0.011985009840944054,0.011985009840944054,6.739788834189072e-05
ma_200,-0.011982891771578389,0.011982891771578389,6.746487455460609e-05
vol_vs_avg_30,0.011969107446057116,0.011969107446057116,6.877937569555648e-05
vol_ratio_30,0.011969107446057116,0.011969107446057116,6.877937569555648e-05
vol_ma_60,0.011846749507144361,0.011846749507144361,8.155815214543421e-05
regime_breadth_10,-0.011819347129235073,0.011819347129235073,8.471260077248684e-05
macd_12_26_change_10,0.011774883507699684,0.011774883507699684,9.014371896754137e-05
macd_roc_10,0.011774883507699684,0.011774883507699684,9.014371896754137e-05
atr_30,0.011708054405944399,0.011708054405944399,9.874836226949105e-05
bb_position_20_change_20,-0.01141612149880352,0.01141612149880352,0.00014717857584380754
higher_highs_10,0.011372228973893568,0.011372228973893568,0.0001556002542487476
ma_slope_5,0.01123625157186506,0.01123625157186506,0.0001864890399874972
bb_width_30,0.011233773256552783,0.011233773256552783,0.00018720151594417178
consec_down_3,0.011126756497303582,0.011126756497303582,0.0002153300046079078
vol_vs_avg_10,0.01109144385930011,0.01109144385930011,0.00022551527218850608
vol_ratio_10,0.01109144385930011,0.01109144385930011,0.00022551527218850608
vol_std_5,0.011022301331109412,0.011022301331109412,0.0002469888232657893
momentum_3,-0.010973926594284079,0.010973926594284079,0.00026342139457656577
bb_upper_10,0.01093366030620449,0.01093366030620449,0.00027702936203904087
near_high_20,0.010900806517243644,0.010900806517243644,0.0002887704653487674
vol_std_10,0.010761783877792766,0.010761783877792766,0.0003452752622829662
ret_pctl_cross_10,-0.010747732993732818,0.010747732993732818,0.0003540484878361321
vol_ma_ext_15,0.01070839792972464,0.01070839792972464,0.000369192171002894
range_pct_30,0.010547023539582432,0.010547023539582432,0.00045232103816443265
zscore_10,-0.01053251046206019,0.01053251046206019,0.00046095257547144105
bb_position_10,-0.010532497823012028,0.010532497823012028,0.00046095984831340194
curvature_1,-0.010508381989267495,0.010508381989267495,0.00047539910664738504
price_accel_1,-0.010508377017982237,0.010508377017982237,0.00047540205062244367
d2_close_1,-0.010508377017982237,0.010508377017982237,0.00047540205062244367
ma_slope_50,0.010397067288052219,0.010397067288052219,0.0005450909122372142
d2_close_ext_6,-0.010282799988710956,0.010282799988710956,0.0006326349743817064
engulfing_bear,0.010172189618593579,0.010172189618593579,0.0007173802977834549
bb_squeeze_10,0.010172031733457269,0.010172031733457269,0.0007175174647539444
vwap,-0.0101080251282003,0.0101080251282003,0.0007751766636058464
ma_slope_10,0.010043405357829955,0.010043405357829955,0.000837955451653322
close_vs_low_60,0.00996165420758061,0.00996165420758061,0.0009235701352336089
momentum_accel_1,-0.009947731910256736,0.009947731910256736,0.000940281947918552
bb_upper_30,0.009891068546765738,0.009891068546765738,0.0010048619605275838
vol_ma_ext_25,0.009886156872645399,0.009886156872645399,0.001010016056008847
vol_ma_20,0.009871987036780923,0.009871987036780923,0.0010270529861350105
range_pct_10,0.009866533796831079,0.009866533796831079,0.0010336802032000077
lunch,-0.009862385331725244,0.009862385331725244,0.0010387482317019178
price_jerk_3,-0.009838905970074703,0.009838905970074703,0.0010744258412375579
vol_skew_10,-0.009835541405428878,0.009835541405428878,0.0010750214505658618
ma_align_short,-0.009655896927222534,0.009655896927222534,0.0013220797191340699
high_vs_prev_high,-0.009582486777855042,0.009582486777855042,0.0014398468510337396
bb_width_20,0.009523976532325215,0.009523976532325215,0.0015397582432924765
breakout_high_10,-0.00945428434971522,0.00945428434971522,0.0016660277715392074
range_contraction_10,0.009355103031395152,0.009355103031395152,0.001864758494020448
vol_ma_30,0.0093401190184883,0.0093401190184883,0.001895570229317321
bb_lower_10,-0.009296006763591963,0.009296006763591963,0.00199300911202992
vol_ratio_5,0.009266264270592541,0.009266264270592541,0.002059173819141625
vol_vs_avg_5,0.009266264270592541,0.009266264270592541,0.002059173819141625
upper_wick,0.009251517458967518,0.009251517458967518,0.0020933537620451675
vol_std_60,0.009213625212465826,0.009213625212465826,0.002184894795104748
d1_volume_5,0.009069557209225193,0.009069557209225193,0.0025676182083795933
regime_breadth_20,-0.009039281216791328,0.009039281216791328,0.0026464428740803616
engulfing_bull,-0.009008243258201236,0.009008243258201236,0.002737689536386209
expansion_score_10,-0.00896792645311361,0.00896792645311361,0.00286050506083201
consec_up_3,-0.008926162063223358,0.008926162063223358,0.0029930161371253938
price_vs_vwap,-0.008921588843998903,0.008921588843998903,0.003007861289614326
dist_to_low_50,0.008917438856145269,0.008917438856145269,0.003021390687154888
ret_vs_avg_60,0.00887953616961323,0.00887953616961323,0.0031493206987746165
vol_ratio_10_lag_10,0.008830727954898143,0.008830727954898143,0.0033184997773018734
ma_ratio_5_50,0.008769445623226027,0.008769445623226027,0.0035416979481490392
stoch_k_9,-0.008699065406709446,0.008699065406709446,0.0038166768566619378
range_pct_50,0.00867377407705949,0.00867377407705949,0.003920136069490835
trend_x_vol,-0.008665662196108585,0.008665662196108585,0.003958107829856556
squeeze_score_10,0.008658704965684402,0.008658704965684402,0.003982983697794252
vol_zscore_5,0.008653519504756695,0.008653519504756695,0.0040069687342299855
ret_skew_20,-0.00861935633210291,0.00861935633210291,0.0041624917520654
is_friday,-0.008576535360492634,0.008576535360492634,0.004342060776671746
momentum_ext_12,0.008437970730632662,0.008437970730632662,0.005045455885870854
breakout_high_20,-0.008218334966994551,0.008218334966994551,0.006275015557039719
momentum_10,0.008190897389011704,0.008190897389011704,0.006482394452590439
squeeze_x_mom,-0.008175018152611319,0.008175018152611319,0.00658667958658942
ma_ratio_5_20,0.008105459651986273,0.008105459651986273,0.0070279944928861166
dist_to_high_30,0.008099593698544042,0.008099593698544042,0.007069256523741483
close_vs_high_30,-0.008096843216752286,0.008096843216752286,0.0070886786429929585
atr_weighted_ret_5,-0.008083297452302898,0.008083297452302898,0.007202050591207662
expansion_score_20,-0.008043958013143114,0.008043958013143114,0.007471554711990517
vol_zscore_20,0.008037800107952782,0.008037800107952782,0.007520842450327701
macd_hist_12_26,0.008001437316731681,0.008001437316731681,0.007792734491188979
