rule,direction,horizon,t_stat,p_value,expectancy_bps,win_rate,avg_win_bps,avg_loss_bps,profit_factor,sharpe,n_trades,std_bps
depth_ask_k > 20,SHORT,fwd_ret_300s,23.66820508890006,0.0,1.2848576561736658,0.4486460709232319,19.714017079317884,13.711262856572846,1.169960142367207,13.142569880110736,318739,30.648363914002296
obi_1 < -0.3,SHORT,fwd_ret_120s,22.656324489526583,0.0,1.354160747085278,0.4351003903166863,12.38810591517591,7.144471163920199,1.335528069764762,23.354844934327268,92489,18.177150648982995
obi_1 < -0.3 AND pressure_k < -10,SHORT,fwd_ret_60s,21.976902859503188,0.0,1.1410578618750076,0.4040786195441543,9.315686127105517,4.40194262952239,1.4349850412339697,29.59780629639023,54185,12.085947903941817
d_obi_1_30s < -0.05,SHORT,fwd_ret_120s,21.48885354501973,0.0,1.0713994215187075,0.4057560604818577,13.192210142100402,7.204818610788789,1.2502439547793909,18.390238504371496,134189,18.264030333782927
d_obi_1_30s < -0.1,SHORT,fwd_ret_120s,21.32682137957199,0.0,1.1366631659960225,0.41406902366456155,13.425356498995187,7.547580296147103,1.2570263129530734,19.036665945448384,123349,18.718604644465145
d_obi_1_30s < -0.2 AND depth_bid_k > 25,SHORT,fwd_ret_120s,20.448432783316125,0.0,1.2552120050535882,0.4265258262615021,13.765211580178136,8.049196370525955,1.27192597678101,20.20785581423826,100634,19.472845750015694
d_obi_1_30s < -0.2,SHORT,fwd_ret_120s,20.448432783316125,0.0,1.2552120050535882,0.4265258262615021,13.765211580178136,8.049196370525955,1.27192597678101,20.20785581423826,100634,19.472845750015694
obi_1 < -0.3 AND pressure_k < -10,SHORT,fwd_ret_120s,20.188172834114834,0.0,1.4720297568858844,0.45105392473813527,11.938548739436218,7.1280216473863325,1.37619922361506,27.2023586919184,54131,16.9645600065982
d_obi_1_30s < -0.2 AND depth_bid_k > 25,SHORT,fwd_ret_60s,20.087918087997092,0.0,0.8648587333441551,0.38175920322993445,10.543879135927334,5.111866090124084,1.2736579357050088,19.834541126816536,100807,13.66959324100575
d_obi_1_30s < -0.2,SHORT,fwd_ret_60s,20.087918087997092,0.0,0.8648587333441551,0.38175920322993445,10.543879135927334,5.111866090124084,1.2736579357050088,19.834541126816536,100807,13.66959324100575
d_obi_1_30s < -0.1,SHORT,fwd_ret_60s,19.684919216769405,0.0,0.7406466405093397,0.36608255262689515,10.342294688552839,4.804232809360082,1.2431948127604122,17.55280121648794,123606,13.228091693050661
d_obi_1_30s < -0.05,SHORT,fwd_ret_60s,19.575319705101556,0.0,0.6918436050603769,0.3559599324771515,10.233965764849483,4.58207230633866,1.234440752074287,16.734929638268937,134473,12.960346542711326
d_obi_1_15s < -0.05,SHORT,fwd_ret_120s,18.477433037226405,0.0,0.9577795247919813,0.4077735410880447,13.143671661759104,7.432734463957014,1.2175850860983792,16.225222504796015,127458,18.505782827076594
obi_1 < -0.5,SHORT,fwd_ret_60s,18.19966381478846,0.0,1.2272795711580844,0.41123502471084433,9.321221118893156,4.42610062652819,1.4709559144117625,29.022715597781104,38647,13.256779508564486
