system,timestamp,symbol,side,quantity,price,order_ref
l2-scalping,2026-01-15T14:36:08,INTC,BOT,20,49.91,L2SCALP_high_obi_depth_ENTRY_BUY_INTC_1768487767920
l2-scalping,2026-01-15T14:36:08,INTC,BOT,20,49.91,L2SCALP_high_obi_depth_ENTRY_BUY_INTC_1768487767920
l2-scalping,2026-01-15T14:36:20,INTC,SLD,20,49.94,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487780609
l2-scalping,2026-01-15T14:36:20,INTC,SLD,20,49.94,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487780609
l2-scalping,2026-01-15T14:36:25,OCUL,SLD,81,12.25,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768487784845
l2-scalping,2026-01-15T14:36:25,OCUL,SLD,81,12.25,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768487784845
l2-scalping,2026-01-15T14:36:26,INTC,SLD,20,49.93,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487785748
l2-scalping,2026-01-15T14:36:26,INTC,SLD,20,49.93,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487785748
l2-scalping,2026-01-15T14:36:30,INTC,BOT,20,49.88,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487789633
l2-scalping,2026-01-15T14:36:30,INTC,BOT,20,49.88,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487789633
l2-scalping,2026-01-15T14:36:31,INTC,SLD,20,49.92,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487791090
l2-scalping,2026-01-15T14:36:31,INTC,SLD,20,49.92,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487791090
l2-scalping,2026-01-15T14:36:34,INTC,SLD,20,49.89,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487794037
l2-scalping,2026-01-15T14:36:34,INTC,SLD,20,49.89,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487794037
l2-scalping,2026-01-15T14:36:35,INTC,SLD,20,49.87,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487794982
l2-scalping,2026-01-15T14:36:35,INTC,SLD,20,49.87,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487794982
l2-scalping,2026-01-15T14:36:36,INTC,BOT,20,49.92,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487796409
l2-scalping,2026-01-15T14:36:36,INTC,BOT,20,49.92,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487796409
l2-scalping,2026-01-15T14:36:38,OCUL,SLD,83,12.07,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768487797720
l2-scalping,2026-01-15T14:36:38,OCUL,SLD,83,12.07,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768487797720
l2-scalping,2026-01-15T14:36:40,OCUL,SLD,83,12.06,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768487799782
l2-scalping,2026-01-15T14:36:40,OCUL,SLD,83,12.06,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768487799782
l2-scalping,2026-01-15T14:36:42,INTC,SLD,20,49.91,L2SCALP_high_obi_depth_ENTRY_SELL_INTC_1768487802087
l2-scalping,2026-01-15T14:36:42,INTC,SLD,20,49.91,L2SCALP_high_obi_depth_ENTRY_SELL_INTC_1768487802087
l2-scalping,2026-01-15T14:36:50,OCUL,SLD,84,12.06,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768487808842
l2-scalping,2026-01-15T14:36:50,OCUL,SLD,84,12.06,L2SCALP_bid_depth_obi_ENTRY_SELL_OCUL_1768487808842
l2-scalping,2026-01-15T14:36:55,INTC,BOT,19,50.09,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487815759
l2-scalping,2026-01-15T14:36:55,INTC,BOT,19,50.09,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487815759
l2-scalping,2026-01-15T14:36:59,INTC,SLD,19,50.02,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487819660
l2-scalping,2026-01-15T14:36:59,INTC,SLD,19,50.02,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487819660
l2-scalping,2026-01-15T14:37:02,INTC,BOT,19,50.07,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768487821867
l2-scalping,2026-01-15T14:37:02,INTC,SLD,19,50.02,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487822591
l2-scalping,2026-01-15T14:37:02,INTC,BOT,19,50.07,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768487821867
l2-scalping,2026-01-15T14:37:02,INTC,SLD,19,50.02,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487822591
l2-scalping,2026-01-15T14:37:05,INTC,SLD,19,50.05,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487825281
l2-scalping,2026-01-15T14:37:05,INTC,SLD,19,50.05,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768487825281
l2-scalping,2026-01-15T14:37:07,INTC,BOT,19,50.04,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487827270
l2-scalping,2026-01-15T14:37:07,INTC,BOT,19,50.04,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487827270
l2-scalping,2026-01-15T14:37:08,INTC,SLD,19,50.02,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487828534
l2-scalping,2026-01-15T14:37:08,INTC,SLD,19,50.02,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768487828534
l2-scalping,2026-01-15T14:37:13,INTC,BOT,19,50.07,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768487832506
l2-scalping,2026-01-15T14:37:13,INTC,BOT,19,50.07,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768487832506
l2-scalping,2026-01-15T14:37:15,INTC,BOT,19,50.07,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487834485
l2-scalping,2026-01-15T14:37:15,INTC,BOT,19,50.07,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768487834485
l2-scalping,2026-01-15T14:37:16,OCUL,BOT,81,12.09,L2SCALP_obi_depth_combo_ENTRY_BUY_OCUL_1768487835725
l2-scalping,2026-01-15T14:37:16,OCUL,BOT,81,12.09,L2SCALP_obi_depth_combo_ENTRY_BUY_OCUL_1768487835725
l2-scalping,2026-01-15T14:40:38,INTC,SLD,19,50.33,L2SCALP_high_obi_depth_ENTRY_SELL_INTC_1768488038538
l2-scalping,2026-01-15T14:40:38,INTC,SLD,19,50.33,L2SCALP_high_obi_depth_ENTRY_SELL_INTC_1768488038538
l2-scalping,2026-01-15T14:40:43,INTC,BOT,19,50.26,L2SCALP_high_obi_depth_ENTRY_BUY_INTC_1768488043043
l2-scalping,2026-01-15T14:40:43,INTC,BOT,19,50.26,L2SCALP_high_obi_depth_ENTRY_BUY_INTC_1768488043043
l2-scalping,2026-01-15T14:40:52,INTC,BOT,19,50.13,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768488052212
l2-scalping,2026-01-15T14:40:52,INTC,BOT,19,50.13,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768488052212
l2-scalping,2026-01-15T14:40:53,INTC,BOT,19,50.07,L2SCALP_high_obi_depth_ENTRY_BUY_INTC_1768488053170
l2-scalping,2026-01-15T14:40:53,INTC,BOT,19,50.07,L2SCALP_high_obi_depth_ENTRY_BUY_INTC_1768488053170
l2-scalping,2026-01-15T14:40:54,INTC,BOT,19,50.03,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768488054516
l2-scalping,2026-01-15T14:40:54,INTC,BOT,19,50.03,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768488054516
l2-scalping,2026-01-15T14:40:56,INTC,BOT,20,50.0,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768488055767
l2-scalping,2026-01-15T14:40:56,INTC,BOT,20,50.0,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768488055767
l2-scalping,2026-01-15T14:41:02,INTC,BOT,19,50.13,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768488062172
l2-scalping,2026-01-15T14:41:02,INTC,BOT,19,50.13,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768488062172
l2-scalping,2026-01-15T14:41:06,INTC,SLD,19,50.11,L2SCALP_high_obi_depth_ENTRY_SELL_INTC_1768488066374
l2-scalping,2026-01-15T14:41:06,INTC,SLD,19,50.11,L2SCALP_high_obi_depth_ENTRY_SELL_INTC_1768488066374
l2-scalping,2026-01-15T14:41:10,INTC,BOT,19,50.13,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768488069816
l2-scalping,2026-01-15T14:41:10,INTC,BOT,19,50.13,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768488069816
l2-scalping,2026-01-15T14:41:15,INTC,BOT,19,50.06,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768488074540
l2-scalping,2026-01-15T14:41:15,INTC,BOT,19,50.06,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768488074540
l2-scalping,2026-01-15T14:41:17,INTC,SLD,19,50.07,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768488077358
l2-scalping,2026-01-15T14:41:17,INTC,SLD,19,50.07,L2SCALP_bid_depth_obi_ENTRY_SELL_INTC_1768488077358
l2-scalping,2026-01-15T14:41:26,INTC,SLD,19,50.01,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768488086012
l2-scalping,2026-01-15T14:41:26,INTC,SLD,19,50.01,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768488086012
l2-scalping,2026-01-15T14:41:29,INTC,SLD,19,50.02,L2SCALP_high_obi_depth_ENTRY_SELL_INTC_1768488089344
l2-scalping,2026-01-15T14:41:29,INTC,SLD,19,50.02,L2SCALP_high_obi_depth_ENTRY_SELL_INTC_1768488089344
l2-scalping,2026-01-15T14:41:31,INTC,BOT,20,50.0,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768488090604
l2-scalping,2026-01-15T14:41:31,INTC,BOT,20,50.0,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768488090604
l2-scalping,2026-01-15T14:41:32,INTC,SLD,20,49.99,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768488092576
l2-scalping,2026-01-15T14:41:32,INTC,SLD,20,49.99,L2SCALP_obi_depth_combo_ENTRY_SELL_INTC_1768488092576
l2-scalping,2026-01-15T14:41:36,INTC,BOT,20,49.92,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768488096135
l2-scalping,2026-01-15T14:41:36,INTC,BOT,20,49.92,L2SCALP_obi_depth_combo_ENTRY_BUY_INTC_1768488096135
l2-scalping,2026-01-15T14:41:37,INTC,BOT,20,49.91,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768488097461
l2-scalping,2026-01-15T14:41:37,INTC,BOT,20,49.91,L2SCALP_bid_depth_obi_ENTRY_BUY_INTC_1768488097461
l2-scalping,2026-01-15T14:41:45,INTC,BOT,20,49.95,L2SCALP_high_obi_depth_ENTRY_BUY_INTC_1768488104677
l2-scalping,2026-01-15T14:41:45,INTC,BOT,20,49.95,L2SCALP_high_obi_depth_ENTRY_BUY_INTC_1768488104677
